body,priority
"(Fax) to  my direct confidential  Fax No: 234 1 7591666  

Dr. Kataga Bakori
Lagos, Nigeria.
23rd July 2002


Attention President/C.E.O
                   
Dear Sir,

REQUEST FOR URGENT BUSINESS RELATIONSHIP.

Firstly I must solicit your strictest confidence in this subject. This is by virtue of its nature as 
being utterly confidential and top secret. A member of the Nigeria Export Promotion Council 
(N.E.P.C.) who was part of the federal government delegation to your country during a trade 
exhibition gave your particulars to me. I have decided to seek a confidential operation with 
you in the execution of the deal described hereunder for the benefit of all the parties and 
hope that you keep it top secret because of the nature of the business.

Within the ministry of petroleum resources where I work as a director of engineering and 
projects, and with the co-operation of four other very top officials, we have under our 
control as overdue contract payments, bills totaling Thirty One Million United States Dollars, 
which we want to transfer to a foreign account, with the assistance and co-operation of a 
foreign company to receive the said funds on our behalf or a reliable foreign individual 
account to receive the funds.

The source of the fund is as follows: during the last military government here in Nigeria 
which lasted bout eleven months, government officials set up companies and awarded 
themselves various contracts which were grossly over-invoiced in various ministries.  The 
present civilian government is not aware of the atrocities committed by their predecessors 
and as a result, we have a lot of such over invoiced contract payment s pending which we 
have identified floating at the central bank of Nigeria ready for payment.  However by virtue 
of our position as civil servants, we cannot acquire this money in our names.  I was 
therefore delegated as a matter of urgency by my colleagues to look for an over seas 
partner into whose account we would transfer the sum of  US$31,000,000.00 (THIRTY 
ONE MILLION UNITED STATES DOLLARS) hence we are writing you this letter.

 the present civilian government is determined to pay foreign contractors l debts owed 
so as to maintain an amiable relationship with foreign governments and non-government 
financial agencies.  We have decided to include our bills for approval with the co-operation 
of some officials of the federal ministry of finance (F.M.F) and the central bank of Nigeria 
(C.B.N).  We are seeking your assistance in providing us with a good company account or 
any other offshore bank account into which we can remit this money by acting our main 
partner and trustee or acting as the original contractor.  This we can do by swapping of 
account information and changing of beneficiary and other pertinent information to apply for 
payment.  By this act, we would be using your company information to apply for payment, 
and prepare letters of claim and job description on behalf of your company.  This process 
would be an internal arrangement with the departments concerned.

I have the authority of my partners involved to propose that should you be willing to assist 
us in this transaction, your share as compensation will be us$6.2 million (20%), us$21.7 
million (70%) for us and us$3.1 (10%) for 
taxation and miscellaneous expenses.

The business itself is 100% safe, provided you treat it with utmost secrecy and 
confidentiality.  Also your area of specialization is not m hindrance to the successful 
execution of this transaction.  I have reposed my confidence in you and hope that you will 
not disappoint me. 

I will bring the complete picture of the transaction to your 
knowledge when I have heard from you.

Thanks for your co-operation,

Yours faithfully,

Dr. Kataga Bakori

NB: Please respond by sending a facsimile (Fax) to  my direct confidential  Fax No: 234 1 
7591666  

--DeathToSpamDeathToSpamDeathToSpam--


-------------------------------------------------------
This sf.net email is sponsored by:ThinkGeek
Welcome to geek heaven.
http://thinkgeek.com/sf
_______________________________________________
Spamassassin-Sightings mailing list
Spamassassin-Sightings@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-sightings


",low
Seeking detailed information on security solutions for medical data in hospital systems. Could you provide specifics on the measures taken to protect sensitive information?,high
"Facing challenges with digital campaign engagement, despite recent efforts to adjust budgets and review analytics. The team feels that the current strategies might be outdated and need to align with current market trends. We would greatly appreciate your guidance on how to refresh our approach to improve engagement. Specifically, we would like recommendations and resources to help us better understand our audience and create more effective campaigns. We look forward to your assistance in resolving this issue. Thank you for your time and support.",low
"<HR>
<html>
<div bgcolor=""#FFFFCC"">

  <p align=""center""><a
href=""http://www.fabulousmail.com""><img border=""0""
src=""http://www.fabulousmail.com/Toners2goLogo.jpg""
width=""349"" height=""96""></a></p>
<p align=""center""><font size=""6"" face=""Arial MT
Black""><i>Tremendous Savings</i>
on Toners,&nbsp;</font></p>
<p align=""center""><font size=""6"" face=""Arial MT
Black"">
Inkjets, FAX, and Thermal Replenishables!!</font></p>
<p><a href=""http://www.fabulousmail.com"">Toners 2 Go
</a>is your secret
weapon to lowering your cost for <a
href=""http://www.fabulousmail.com"">High Quality,
Low-Cost</a> printer
supplies!&nbsp; We have been in the printer
replenishables business since 1992,
and pride ourselves on rapid response and outstanding
customer service.&nbsp;
What we sell are 100% compatible replacements for
Epson, Canon, Hewlett Packard,
Xerox, Okidata, Brother, and Lexmark; products that
meet and often exceed
original manufacturer's specifications.</p>
<p><i><font size=""4"">Check out these
prices!</font></i></p>
<p>&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; Epson Stylus
Color inkjet cartridge
(SO20108):&nbsp;&nbsp;&nbsp;&nbsp; Epson's Price:
$27.99&nbsp; <font face=""Arial MT Black"">&nbsp;&nbsp;
Toners2Go price: $9.95!</font></p>
  <p>&nbsp;&nbsp; <font face=""Arial MT
Black"">&nbsp;&nbsp;&nbsp; </font>HP
LaserJet 4 Toner Cartridge
(92298A):&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
HP's
Price:
$88.99&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
<font face=""Arial MT Black"">Toners2Go
  price: $41.75!</font></p>
<p align=""center"">&nbsp;</p>
<p>Come visit us on the web to check out our hundreds
of similar bargains at <a
href=""http://www.fabulousmail.com"">Toners
2 Go</a>!
</p>

<hr>
  
  request to be removed by clicking <a
href=""http://www.fabulousmail.com/unsubscribe.htm"">HERE</a></span></font><br>
 
</div>
</html>
c.l.kyle




--DeathToSpamDeathToSpamDeathToSpam--


-------------------------------------------------------
This sf.net email is sponsored by: Jabber - The world's fastest growing 
real-time communications platform! Don't just IM. Build it in! 
http://www.jabber.com/osdn/xim
_______________________________________________
Spamassassin-Sightings mailing list
Spamassassin-Sightings@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-sightings


",low
"Dear Customer Support, I am inquiring about the billing options available for Monday.com integration services. Could you provide details on the different plans and their features? I am particularly interested in any potential discounts for long-term commitments or bulk purchases. Additionally, I would like to know if Monday.com integrates with tools like Google Drive, Trello, and Slack, and what the specific requirements and limitations are for these integrations. I appreciate your time and look forward to hearing back with the necessary details. Thank you for your assistance.",low
"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<html>



<body>

<div align=""left"">
  <table border=""1"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse: collapse"" bordercolor=""#111111"" width=""511"" height=""308"" id=""AutoNumber1"">
    <tr>
      <td width=""511"" height=""308"" valign=""top"" bgcolor=""#EBEBEB"">
      <p align=""center""><b><font color=""#000080"" size=""5"">Shopping for a loan 
      has never been easier</font></b></p>
      <p align=""center"">&nbsp;</p>
      <p align=""center""><font color=""#000080"">Get a free quote on a new First 
      Mortgage, Second Mortgage, or a Credit Line with no cost or obligation.</font></p>
      <p align=""center""><font color=""#000080"">We can help you get a great loan 
      regardless of your credit situation</font></p>
      <p align=""center""><font color=""#000080"">It's a great time to buy or 
      refinance your home.</font></p>
      <p align=""center""><b><font color=""#000080"">Whether you want to:</font></b></p>
      <p align=""center""><font color=""#000080"">Buy a new home - consolidate your 
      debts</font></p>
      <p align=""center""><font color=""#000080"">Refinance to lower your payments</font></p>
      <p align=""center""><font color=""#000080"">Take some equity out of your home 
      for any reason</font></p>
      <p align=""center""><b><font color=""#000080"">We can help!</font></b></p>
      <p align=""center""><font color=""#000080"" size=""4"">
      <a href=""http://211.141.69.11:8111/mortgage/form.htm"">Click here and get a free quote!</a></font></p>
      <p align=""center""><font color=""#000080""><b>You have nothing to lose!</b></font></p>
      <p align=""center"">&nbsp;</p>
      <p align=""center""><font color=""#000080"">
      <a href=""http://211.141.69.11:8111/removes/deptoff.htm"">To not receive this 
      email again click here</a></font></td>
    </tr>
  </table>
</div>

</body>

</html>




",low
"customer support, please provide details on the integration options available for the QuickBooks Online project management SaaS. Specifically, could you share information on types of integrations offered, such as single sign-on and API connectivity? I would appreciate it if you could also include the setup process, potential costs, and the benefits of integrating with the QuickBooks Online platform.",low
"Our marketing agency has encountered unexpected billing discrepancies affecting several digital products. These discrepancies might be due to multiple account integrations. We have attempted to resolve the issue by reviewing account statements and contacting customer support, but without success. We kindly request your assistance in resolving this matter.",low
"Facing reduced brand visibility even after implementing digital marketing strategies, possibly because of ineffective targeting. Analyzed audience engagement metrics and adjusted campaigns, but results are still unsatisfactory. The team has tried various methods and needs expert guidance to enhance the brand's online presence.",medium
"Users are unable to access the updated dashboards, and clearing the cache does not resolve the issue.",high
